,EXR
Price/Earnings (TTM),26.45388
Price/Sales (TTM),8.55852
Price/Book (MRQ),4.74429
Price/Cash Flow (TTM),16.86759
5yr Low,64.78
5yr High,124.46
5yr Avg Return,0.061583333333333344
EPS Growth 5yr,0.1614958
Revenue Growth 5yr,0.151198
Dividend Growth 5yr,0.144865
Short Int Current Month,4952932.0
Short Int Prev Month,4019689.0
Short Int Pct of Float,0.039275000000000004
Days to Cover,3.17832
Float,126.1188
Shares Outstanding,129.0389
Institutions Holding Shares,708.0
% Held by Institutions,1.011301
FCF Growth 5yr,5.937867647058823
