,FIS
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.12199630314232901
Growth 1yr High Est,0.14336917562724016
Growth 1yr Consensus Est,0.010686436242455577
Growth 2yr Low Est,0.06426500632357235
Growth 2yr High Est,0.15162189188885522
Growth 2yr Consensus Est,0.10794344910621378
Growth 5yr Low Est,0.09176782751485252
Growth 5yr High Est,0.13774338093831046
Growth 5yr Consensus Est,0.11475560422658149
Growth 5yr Actual/Est,0.11580962329753242
Growth 3yr Historic,0.06397891558447177
