,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,4.42,,,4.34,,4.43,,4.385,4.42,,
Year ending 12/2018,Neutral,5.23,,0.18325791855203621,5.2,0.1981566820276499,5.24,0.18284424379232522,5.220000000000001,5.23,0.18325791855203621,0.19050046290998757
Year ending 12/2019,Neutral,5.61,,0.07265774378585088,5.41,0.04038461538461546,5.58,0.06488549618320616,5.495,5.61,0.07265774378585088,0.05263505578391081
Year ending 12/2020,Neutral,,5.55,0.0,4.75,-0.12199630314232901,6.38,0.14336917562724016,5.55,5.55,-0.010695187165775444,0.010686436242455577
Year ending 12/2021,Neutral,,6.76,0.0,5.94,0.2505263157894737,7.4,0.15987460815047028,6.76,6.76,0.218018018018018,0.205200461969972
