,AES
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.04580152671755733
Growth 1yr High Est,0.11764705882352944
Growth 1yr Consensus Est,0.08172429277054338
Growth 2yr Low Est,0.0812949239427202
Growth 2yr High Est,0.0851393188854489
Growth 2yr Consensus Est,0.08321712141408455
Growth 5yr Low Est,0.09091977980362143
Growth 5yr High Est,0.09198989822715564
Growth 5yr Consensus Est,0.09145483901538853
Growth 5yr Actual/Est,0.09879055622096322
Growth 3yr Historic,0.06123058542413384
