,GIS
Next Earnings Announcement,2020-06-24 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.09584664536741228
Growth 1yr High Est,0.12578616352201255
Growth 1yr Consensus Est,0.11081640444471241
Growth 2yr Low Est,-0.00018163358451545042
Growth 2yr High Est,0.06568637785039178
Growth 2yr Consensus Est,0.03275237213293816
Growth 5yr Low Est,0.013936422148476013
Growth 5yr High Est,0.03847019857149814
Growth 5yr Consensus Est,0.026203310359987075
Growth 5yr Actual/Est,0.028590280850304323
Growth 3yr Historic,0.01127750866496846
