,GIS
% Below High,0.0308
% Held by Institutions,0.7103
52-Wk Range,['46.59 - 61.66']
Annual Dividend $,1.96
Annual Dividend %,0.0334
Ask,59.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,59.52
Bid Size,100.0
Closing Price,59.76
Day Change $,0.99
Day Change %,0.0168
Day High,60.0
Day Low,58.9
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.30100000000000005
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,36.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.9
Prev Close,58.77
Shares Outstanding,606.1M
Short Interest,0.020499999999999997
Today's Open,59.39
Volume,2039619.0
Volume 10-day Avg,2992675.0
Volume Past Day,(Light)
