,DTE
Price/Earnings (TTM),15.66713
Price/Sales (TTM),1.50065
Price/Book (MRQ),1.62567
Price/Cash Flow (TTM),7.80767
5yr Low,71.21
5yr High,135.67
5yr Avg Return,0.054299999999999994
EPS Growth 5yr,0.04290530000000001
Revenue Growth 5yr,0.0059129
Dividend Growth 5yr,0.0732118
Short Int Current Month,4733597.0
Short Int Prev Month,4509070.0
Short Int Pct of Float,0.024658799999999998
Days to Cover,3.36511
Float,191.4558
Shares Outstanding,192.5819
Institutions Holding Shares,905.0
% Held by Institutions,0.7438750000000001
FCF Growth 5yr,0.6016636871900027
