,DTE
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.004838709677419395
Growth 1yr High Est,0.07131537242472263
Growth 1yr Consensus Est,0.038077041051071014
Growth 2yr Low Est,0.0497708797183245
Growth 2yr High Est,0.07411922467389986
Growth 2yr Consensus Est,0.06194505219611218
Growth 5yr Low Est,0.057785783077658415
Growth 5yr High Est,0.0718322756252382
Growth 5yr Consensus Est,0.0648090293514483
Growth 5yr Actual/Est,0.06152109375524967
Growth 3yr Historic,0.031753130590339906
