,MTD
% Above Low,0.24190000000000003
% Held by Institutions,0.9843000000000001
52-Wk Range,['579.40 - 873.51']
Annual Dividend $,
Annual Dividend %,
Ask,930.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,710.0
Bid Size,100.0
Closing Price,719.57
Day Change $,-13.17
Day Change %,-0.018000000000000002
Day High,757.42
Day Low,714.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",22.52
Ex-dividend Date,No dividend
Historical Volatility,0.395
Last (size),23.0
Last (time),6:30p ET 05/08/20
Market Cap,17.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.11
Prev Close,732.74
Shares Outstanding,24.0M
Short Interest,0.0347
Today's Open,741.97
Volume,182015.0
Volume 10-day Avg,152702.0
Volume Past Day,(Above Average)
