,MTD
Price/Earnings (TTM),33.10921
Price/Sales (TTM),5.89971
Price/Book (MRQ),58.24479
Price/Cash Flow (TTM),27.53107
5yr Low,275.3
5yr High,873.51
5yr Avg Return,0.1656
EPS Growth 5yr,0.1445614
Revenue Growth 5yr,0.0389024
Dividend Growth 5yr,
Short Int Current Month,816238.0
Short Int Prev Month,836423.0
Short Int Pct of Float,0.034672299999999996
Days to Cover,5.06968
Float,23.16682
Shares Outstanding,23.98052
Institutions Holding Shares,849.0
% Held by Institutions,0.984272
FCF Growth 5yr,0.07643305984906013
