,AMD
% Below High,0.1026
% Held by Institutions,0.7603
52-Wk Range,['26.03 - 59.27']
Annual Dividend $,
Annual Dividend %,
Ask,53.23
Ask Size,100.0
Ask close,54.45
B/A Ratio,12.0
B/A Size,1200x100
Beta,2.2
Bid,53.22
Bid Size,1200.0
Bid close,52.99
Change Since Close,0.03| |(0.06%)
Closing Price,53.19
Day Change $,1.24
Day Change %,0.0239
Day High,53.27
Day Low,51.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.579
Last (size),191.0
Last (time),4:15p ET 05/08/20
Last Trade,53.22
Market Cap,62.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",127.7
Prev Close,51.95
Shares Outstanding,1.2B
Short Interest,0.060599999999999994
Today's Open,52.15
Volume,40737542.0
Volume 10-day Avg,65315857.0
Volume Past Day,(Light)
