,AMD
Price/Earnings (TTM),127.704
Price/Sales (TTM),8.39798
Price/Book (MRQ),20.03077
Price/Cash Flow (TTM),84.85822
5yr Low,1.61
5yr High,59.27
5yr Avg Return,0.9482666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.04099510000000001
Dividend Growth 5yr,
Short Int Current Month,70509859.0
Short Int Prev Month,66382327.0
Short Int Pct of Float,0.0606182
Days to Cover,0.96655
Float,1164.1
Shares Outstanding,1171.19
Institutions Holding Shares,1182.0
% Held by Institutions,0.760277
FCF Growth 5yr,-2.5343821201973755
