,CTAS
% Above Low,0.4139
% Held by Institutions,0.6562
52-Wk Range,['154.33 - 304.81']
Annual Dividend $,2.55
Annual Dividend %,0.011899999999999999
Ask,220.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,191.11
Bid Size,100.0
Closing Price,218.21
Day Change $,4.81
Day Change %,0.0225
Day High,219.0
Day Low,214.12
Dividend Pay Date,2019-12-06 00:00:00
"EPS (TTM, GAAP)",8.82
Ex-dividend,2019-11-07 00:00:00
Ex-dividend Date,11/07/19
Historical Volatility,0.474
Last (size),431.0
Last (time),4:15p ET 05/08/20
Market Cap,22.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.19
Prev Close,213.4
Shares Outstanding,104.1M
Short Interest,0.021099999999999997
Today's Open,216.05
Volume,374852.0
Volume 10-day Avg,705768.0
Volume Past Day,(Light)
