,ARE
% Below High,0.1351
% Held by Institutions,0.9592
52-Wk Range,['109.22 - 175.74']
Annual Dividend $,4.12
Annual Dividend %,0.027200000000000002
Ask,155.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,149.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,152.0
Day Change $,0.51
Day Change %,0.0034000000000000002
Day High,154.9
Day Low,150.95
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",2.12
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.399
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,19.2B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",71.33
Prev Close,151.49
Shares Outstanding,126.2M
Short Interest,0.0417
Today's Open,154.21
Volume,456470.0
Volume 10-day Avg,635752.0
Volume Past Day,(Light)
