,CCI
% Below High,0.0655
% Held by Institutions,0.9064
52-Wk Range,['114.18 - 168.75']
Annual Dividend $,4.8
Annual Dividend %,0.031
Ask,159.9
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.4
Bid,153.01
Bid Size,300.0
Change Since Close,0.10| |(0.06%)
Closing Price,157.7
Day Change $,3.01
Day Change %,0.0195
Day High,158.24
Day Low,155.84
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",1.77
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.401
Last (size),6.0
Last (time),6:30p ET 05/08/20
Last Trade,157.8
Market Cap,65.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",87.5
Prev Close,154.69
Shares Outstanding,416.8M
Short Interest,0.0173
Today's Open,157.32
Volume,1438616.0
Volume 10-day Avg,1993641.0
Volume Past Day,(Light)
