,CCI
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.5736434108527131
Growth 1yr High Est,0.7007299270072991
Growth 1yr Consensus Est,0.6371866689300061
Growth 2yr Low Est,0.39273303547561766
Growth 2yr High Est,0.5413520879671688
Growth 2yr Consensus Est,0.46704256172139325
Growth 5yr Low Est,0.2618220236504118
Growth 5yr High Est,0.36090139197811255
Growth 5yr Consensus Est,0.31136170781426215
Growth 5yr Actual/Est,0.28902232867940236
Growth 3yr Historic,0.16750406383921973
