,NDAQ
% Below High,0.1051
% Held by Institutions,0.7759999999999999
52-Wk Range,['71.66 - 120.23']
Annual Dividend $,1.96
Annual Dividend %,0.0183
Ask,111.0
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.8
Bid,107.6
Bid Size,400.0
Closing Price,107.59
Day Change $,0.26
Day Change %,0.0024
Day High,109.29
Day Low,107.08
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",4.37
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.408
Last (size),29.0
Last (time),4:15p ET 05/08/20
Market Cap,17.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.54
Prev Close,107.33
Shares Outstanding,164.1M
Short Interest,0.025699999999999997
Today's Open,109.21
Volume,895102.0
Volume 10-day Avg,813835.0
Volume Past Day,(Average)
