,CTL
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.17829457364341084
Growth 1yr High Est,0.11940298507462677
Growth 1yr Consensus Est,-0.029445794284392035
Growth 2yr Low Est,-0.12216615474623377
Growth 2yr High Est,0.05970149253731338
Growth 2yr Consensus Est,-0.031232331104460193
Growth 5yr Low Est,-0.12216615474623377
Growth 5yr High Est,0.05970149253731338
Growth 5yr Consensus Est,-0.031232331104460193
Growth 5yr Actual/Est,-0.027934112052373367
Growth 3yr Historic,-0.03558215739125839
