,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Negative Surprise,1.59,,,,,,,1.68,1.59,,
Year ending 12/2018,Positive Surprise,1.19,,-0.2515723270440252,,,,,1.12,1.19,-0.2515723270440252,
Year ending 12/2019,Neutral,1.32,,0.10924369747899165,1.29,,1.34,,1.315,1.32,0.10924369747899165,
Year ending 12/2020,Neutral,,1.31,0.0,1.06,-0.17829457364341084,1.5,0.11940298507462677,1.31,1.31,-0.007575757575757569,-0.029445794284392035
Year ending 12/2021,Neutral,,1.36,0.0,0.99,-0.0660377358490567,1.5,0.0,1.36,1.36,0.03816793893129766,-0.03301886792452835
