,CTL
% Above Low,0.2181
% Held by Institutions,0.7467
52-Wk Range,['8.16 - 15.30']
Annual Dividend $,1.0
Annual Dividend %,0.105
Ask,9.96
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.1
Bid,9.95
Bid Size,200.0
Change Since Close,0.01| |(0.10%)
Closing Price,9.94
Day Change $,0.42
Day Change %,0.0441
Day High,10.13
Day Low,9.63
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",-4.93
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.538
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,9.95
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.52
Shares Outstanding,1.1B
Short Interest,0.0958
Today's Open,9.69
Volume,12027870.0
Volume 10-day Avg,10531515.0
Volume Past Day,(Above Average)
