,FRC
Price/Earnings (TTM),19.83826
Price/Sales (TTM),5.05789
Price/Book (MRQ),1.89497
Price/Cash Flow (TTM),22.69976
5yr Low,56.32
5yr High,122.34
5yr Avg Return,0.11736666666666666
EPS Growth 5yr,0.1109845
Revenue Growth 5yr,0.192711
Dividend Growth 5yr,0.0679072
Short Int Current Month,5242758.0
Short Int Prev Month,6145223.0
Short Int Pct of Float,0.0309017
Days to Cover,3.7363
Float,169.5408
Shares Outstanding,171.2876
Institutions Holding Shares,795.0
% Held by Institutions,1.033885
FCF Growth 5yr,0.094374345449137
