,FRC
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.10179640718562866
Growth 1yr High Est,0.044315992292870865
Growth 1yr Consensus Est,-0.028740207446378896
Growth 2yr Low Est,-0.05089820359281433
Growth 2yr High Est,0.11256390020547602
Growth 2yr Consensus Est,0.030832848306330846
Growth 5yr Low Est,0.003897283874520069
Growth 5yr High Est,0.088015040659358
Growth 5yr Consensus Est,0.045956162266939035
Growth 5yr Actual/Est,0.03812628720415606
Growth 3yr Historic,0.034555984555984576
