,UNP
Price/Earnings (TTM),18.40297
Price/Sales (TTM),4.98261
Price/Book (MRQ),6.71557
Price/Cash Flow (TTM),12.98551
5yr Low,67.06
5yr High,188.96
5yr Avg Return,0.09918333333333335
EPS Growth 5yr,0.0783633
Revenue Growth 5yr,-0.0197764
Dividend Growth 5yr,0.1543697
Short Int Current Month,8308831.0
Short Int Prev Month,8239125.0
Short Int Pct of Float,0.0120578
Days to Cover,2.20156
Float,677.3375
Shares Outstanding,678.5681
Institutions Holding Shares,2396.0
% Held by Institutions,0.807265
FCF Growth 5yr,0.15648036493204087
