,EOG,Rating Since
newConstructs,3,2020-05-08
researchTeam,hold,2020-04-13
creditSuisse,outperform,2018-11-16
theStreet,hold,2019-08-16
cfra,4,2020-03-14
ford,3,2019-06-07
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
