,GS
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.6079573022804463
Growth 1yr High Est,-0.23611111111111127
Growth 1yr Consensus Est,-0.4220342066957788
Growth 2yr Low Est,0.16693719044393518
Growth 2yr High Est,0.09682047750229567
Growth 2yr Consensus Est,0.13187883397311542
Growth 5yr Low Est,0.11813710350926038
Growth 5yr High Est,0.10318191653462658
Growth 5yr Consensus Est,0.11065951002194348
Growth 5yr Actual/Est,0.08515269048246468
Growth 3yr Historic,0.027764565766643323
