,GS
Price/Earnings (TTM),9.90468
Price/Sales (TTM),1.16785
Price/Book (MRQ),0.7723
Price/Cash Flow (TTM),7.28108
5yr Low,130.85
5yr High,275.31
5yr Avg Return,0.02691666666666667
EPS Growth 5yr,0.042628000000000006
Revenue Growth 5yr,0.0649693
Dividend Growth 5yr,0.13024639999999998
Short Int Current Month,5426526.0
Short Int Prev Month,5427022.0
Short Int Pct of Float,0.0154733
Days to Cover,1.28746
Float,341.6963
Shares Outstanding,343.8866
Institutions Holding Shares,1702.0
% Held by Institutions,0.6957070000000001
FCF Growth 5yr,-1.7227875274637756
