,LUV
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-2.5
Growth 1yr High Est,-1.550660792951542
Growth 1yr Consensus Est,-2.0253303964757707
Growth 2yr Low Est,-1.79874213836478
Growth 2yr High Est,-1.9453303964757709
Growth 2yr Consensus Est,-1.8720362674202753
Growth 5yr Low Est,-0.8411268814773549
Growth 5yr High Est,-0.923565821271628
Growth 5yr Consensus Est,-0.8823463513744914
Growth 5yr Actual/Est,-0.819772683081412
Growth 3yr Historic,0.065239218328841
