,LUV
% Above Low,0.0981
% Held by Institutions,0.7409
52-Wk Range,['24.77 - 58.83']
Annual Dividend $,
Annual Dividend %,
Ask,27.2
Ask Size,100.0
B/A Ratio,12.0
B/A Size,1200x100
Beta,1.3
Bid,26.7
Bid Size,1200.0
Closing Price,27.2
Day Change $,1.75
Day Change %,0.0688
Day High,27.23
Day Low,25.91
Dividend Pay Date,03/25/20
"EPS (TTM, GAAP)",3.33
Ex-dividend Date,03/03/20
Historical Volatility,0.48
Last (size),329.0
Last (time),6:30p ET 05/08/20
Market Cap,16.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.64
Prev Close,25.45
Shares Outstanding,589.4M
Short Interest,0.0165
Today's Open,26.04
Volume,19156085.0
Volume 10-day Avg,40358705.0
Volume Past Day,(Light)
