,BDX
Price/Earnings (TTM),82.55716
Price/Sales (TTM),3.99082
Price/Book (MRQ),3.32439
Price/Cash Flow (TTM),22.8204
5yr Low,128.87
5yr High,286.72
5yr Avg Return,0.11976666666666666
EPS Growth 5yr,-0.0892439
Revenue Growth 5yr,0.154061
Dividend Growth 5yr,0.0715658
Short Int Current Month,6236525.0
Short Int Prev Month,4238912.0
Short Int Pct of Float,0.023060200000000003
Days to Cover,3.50666
Float,270.116
Shares Outstanding,271.1732
Institutions Holding Shares,1824.0
% Held by Institutions,0.8606100000000001
FCF Growth 5yr,0.19072817115270202
