,BDX
% Below High,0.1124
% Held by Institutions,0.8606
52-Wk Range,['197.75 - 286.72']
Annual Dividend $,3.16
Annual Dividend %,0.0123
Ask,255.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,250.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,254.48
Day Change $,-1.77
Day Change %,-0.0069
Day High,259.76
Day Low,254.01
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",3.1
Ex-dividend,2020-06-08 00:00:00
Ex-dividend Date,06/08/20
Historical Volatility,0.341
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,72.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",82.56
Prev Close,256.25
Shares Outstanding,282.9M
Short Interest,0.0231
Today's Open,259.22
Volume,1417379.0
Volume 10-day Avg,1572185.0
Volume Past Day,(Average)
