,BDX
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.13991416309012883
Growth 1yr High Est,-0.04340425531914893
Growth 1yr Consensus Est,-0.09165920920463888
Growth 2yr Low Est,0.00988323781621303
Growth 2yr High Est,0.08016619974256067
Growth 2yr Consensus Est,0.04502471877938685
Growth 5yr Low Est,0.06237144900741043
Growth 5yr High Est,0.09670967762788907
Growth 5yr Consensus Est,0.07954056331764975
Growth 5yr Actual/Est,0.07965355025343868
Growth 3yr Historic,0.0555615435909817
