,CHRW
% Above Low,0.2961
% Held by Institutions,0.9704999999999999
52-Wk Range,['56.94 - 91.23']
Annual Dividend $,2.04
Annual Dividend %,0.028399999999999998
Ask,73.79
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.5
Bid,68.0
Bid Size,200.0
Closing Price,73.8
Day Change $,1.85
Day Change %,0.025699999999999997
Day High,74.04
Day Low,72.23
Dividend Pay Date,2020-03-27 00:00:00
"EPS (TTM, GAAP)",3.6
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.326
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,9.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.01
Prev Close,71.95
Shares Outstanding,134.6M
Short Interest,0.0955
Today's Open,72.5
Volume,1466743.0
Volume 10-day Avg,1883653.0
Volume Past Day,(Light)
