,CHRW
Price/Earnings (TTM),20.01035
Price/Sales (TTM),0.63041
Price/Book (MRQ),6.10129
Price/Cash Flow (TTM),16.3158
5yr Low,56.94
5yr High,101.2
5yr Avg Return,0.030366666666666667
EPS Growth 5yr,0.0656581
Revenue Growth 5yr,0.0259313
Dividend Growth 5yr,0.07046380000000001
Short Int Current Month,12393586.0
Short Int Prev Month,12672420.0
Short Int Pct of Float,0.095486
Days to Cover,6.4665
Float,129.9109
Shares Outstanding,134.61
Institutions Holding Shares,793.0
% Held by Institutions,0.970505
FCF Growth 5yr,0.13613770175325646
