,LNT
% Above Low,0.2743
% Held by Institutions,0.7587999999999999
52-Wk Range,['37.66 - 60.28']
Annual Dividend $,1.52
Annual Dividend %,0.0329
Ask,57.57
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.4
Bid,46.36
Bid Size,200.0
Closing Price,47.99
Day Change $,1.75
Day Change %,0.0378
Day High,48.21
Day Low,46.55
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.5
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.359
Last (size),28.0
Last (time),4:15p ET 05/08/20
Market Cap,11.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.52
Prev Close,46.24
Shares Outstanding,245.2M
Short Interest,0.0155
Today's Open,47.47
Volume,1311999.0
Volume 10-day Avg,1428923.0
Volume Past Day,(Average)
