,LNT
Price/Earnings (TTM),18.52364
Price/Sales (TTM),3.17071
Price/Book (MRQ),2.09673
Price/Cash Flow (TTM),9.62
5yr Low,27.14
5yr High,60.28
5yr Avg Return,0.09015
EPS Growth 5yr,0.0603073
Revenue Growth 5yr,0.0171549
Dividend Growth 5yr,0.0684092
Short Int Current Month,3792741.0
Short Int Prev Month,3760994.0
Short Int Pct of Float,0.0154951
Days to Cover,2.64912
Float,240.4929
Shares Outstanding,245.2227
Institutions Holding Shares,754.0
% Held by Institutions,0.7587550000000001
FCF Growth 5yr,1.4355891981866142
