,ROP
% Below High,0.0928
% Held by Institutions,0.9475
52-Wk Range,['240.00 - 395.00']
Annual Dividend $,2.05
Annual Dividend %,0.0058
Ask,364.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.0
Bid,300.03
Bid Size,100.0
Closing Price,358.36
Day Change $,2.17
Day Change %,0.0060999999999999995
Day High,362.32
Day Low,357.28
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",15.59
Ex-dividend,2020-04-07 00:00:00
Ex-dividend Date,04/07/20
Historical Volatility,0.38799999999999996
Last (size),2000.0
Last (time),6:30p ET 05/08/20
Market Cap,37.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.99
Prev Close,356.19
Shares Outstanding,104.4M
Short Interest,0.0189
Today's Open,359.61
Volume,573589.0
Volume 10-day Avg,771785.0
Volume Past Day,(Light)
