,ROP
Price/Earnings (TTM),22.98526
Price/Sales (TTM),6.88941
Price/Book (MRQ),3.90057
Price/Cash Flow (TTM),18.03315
5yr Low,150.91
5yr High,395.0
5yr Avg Return,0.14550000000000002
EPS Growth 5yr,0.21306619999999998
Revenue Growth 5yr,0.0862
Dividend Growth 5yr,0.1825414
Short Int Current Month,1968887.0
Short Int Prev Month,1778020.0
Short Int Pct of Float,0.018906799999999998
Days to Cover,4.02975
Float,102.3934
Shares Outstanding,104.3966
Institutions Holding Shares,1164.0
% Held by Institutions,0.94745
FCF Growth 5yr,0.09870053002588337
