,DISH
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.33333333333333337
Growth 1yr High Est,0.09056603773584904
Growth 1yr Consensus Est,-0.12138364779874217
Growth 2yr Low Est,-0.36919831223628696
Growth 2yr High Est,0.024521773193183993
Growth 2yr Consensus Est,-0.17233826952155148
Growth 5yr Low Est,-0.09287606274679636
Growth 5yr High Est,0.10295266205177733
Growth 5yr Consensus Est,0.005038299652490488
Growth 5yr Actual/Est,0.034141782242502416
Growth 3yr Historic,0.10671422101449277
