,ABT
Price/Earnings (TTM),47.16905
Price/Sales (TTM),5.18005
Price/Book (MRQ),5.50181
Price/Cash Flow (TTM),25.03822
5yr Low,36.0
5yr High,100.0
5yr Avg Return,0.14446666666666666
EPS Growth 5yr,0.1239922
Revenue Growth 5yr,0.09520870000000001
Dividend Growth 5yr,0.07298460000000001
Short Int Current Month,21447408.0
Short Int Prev Month,17772257.0
Short Int Pct of Float,0.0122575
Days to Cover,2.35609
Float,1756.006
Shares Outstanding,1768.845
Institutions Holding Shares,2617.0
% Held by Institutions,0.739439
FCF Growth 5yr,0.25499354980672534
