,ABT
% Below High,0.063
% Held by Institutions,0.7394
52-Wk Range,['61.61 - 100.00']
Annual Dividend $,1.44
Annual Dividend %,0.015300000000000001
Ask,93.7
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.0
Bid,93.6
Bid Size,700.0
Change Since Close,-0.10| |(-0.11%)
Closing Price,93.7
Day Change $,-0.29
Day Change %,-0.0031
Day High,94.94
Day Low,92.9
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.99
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.358
Last (size),3.0
Last (time),6:30p ET 05/08/20
Last Trade,93.6
Market Cap,165.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.17
Prev Close,93.99
Shares Outstanding,1.8B
Short Interest,0.0123
Today's Open,94.84
Volume,6168990.0
Volume 10-day Avg,6883807.0
Volume Past Day,(Below Average)
