,AVB
Price/Earnings (TTM),28.61005
Price/Sales (TTM),9.71316
Price/Book (MRQ),2.05331
Price/Cash Flow (TTM),15.59698
5yr Low,118.17
5yr High,229.4
5yr Avg Return,0.006549999999999999
EPS Growth 5yr,0.027416299999999998
Revenue Growth 5yr,0.0664672
Dividend Growth 5yr,0.057940399999999996
Short Int Current Month,1902087.0
Short Int Prev Month,1860187.0
Short Int Pct of Float,0.0135622
Days to Cover,1.60482
Float,140.3473
Shares Outstanding,140.7347
Institutions Holding Shares,875.0
% Held by Institutions,0.949991
FCF Growth 5yr,-0.7439168874997216
