,AVB
% Above Low,0.3875
% Held by Institutions,0.95
52-Wk Range,['118.17 - 229.40']
Annual Dividend $,6.36
Annual Dividend %,0.039599999999999996
Ask,177.0
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,0.9
Bid,154.87
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,163.96
Day Change $,3.52
Day Change %,0.0219
Day High,164.29
Day Low,160.87
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",5.61
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.44200000000000006
Last (size),23100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,23.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",28.61
Prev Close,160.44
Shares Outstanding,140.7M
Short Interest,0.013600000000000001
Today's Open,163.41
Volume,1371744.0
Volume 10-day Avg,1046248.0
Volume Past Day,(Heavy Day)
