,ETFC
% Above Low,0.5998
% Held by Institutions,0.9389
52-Wk Range,['25.76 - 57.30']
Annual Dividend $,0.56
Annual Dividend %,0.013999999999999999
Ask,42.99
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,39.75
Bid Size,200.0
Closing Price,41.21
Day Change $,1.24
Day Change %,0.031
Day High,41.3
Day Low,40.3
Dividend Pay Date,2020-05-19 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.628
Last (size),4.0
Last (time),3:59p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.55
Prev Close,39.97
Shares Outstanding,221.0M
Short Interest,0.051699999999999996
Today's Open,40.61
Volume,2368422.0
Volume 10-day Avg,2709812.0
Volume Past Day,(Below Average)
