,TXT
% Above Low,0.34750000000000003
% Held by Institutions,0.8304
52-Wk Range,['20.26 - 54.24']
Annual Dividend $,0.08
Annual Dividend %,0.0031
Ask,27.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,25.68
Bid Size,100.0
Closing Price,27.3
Day Change $,1.62
Day Change %,0.06309999999999999
Day High,27.38
Day Low,26.0
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.5910000000000001
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,6.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.21
Prev Close,25.68
Shares Outstanding,227.5M
Short Interest,0.0176
Today's Open,26.24
Volume,1335244.0
Volume 10-day Avg,1954538.0
Volume Past Day,(Light)
