,TXT
Price/Earnings (TTM),9.20543
Price/Sales (TTM),0.46699
Price/Book (MRQ),1.12169
Price/Cash Flow (TTM),5.69725
5yr Low,20.26
5yr High,72.87
5yr Avg Return,-0.05575
EPS Growth 5yr,0.10281570000000001
Revenue Growth 5yr,-0.0035998000000000002
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,3985772.0
Short Int Prev Month,3643224.0
Short Int Pct of Float,0.0175861
Days to Cover,2.39798
Float,226.6152
Shares Outstanding,227.4725
Institutions Holding Shares,594.0
% Held by Institutions,0.830437
FCF Growth 5yr,0.10605296210637091
