,TXT,Rating Since
newConstructs,3,2020-05-08
researchTeam,reduce,2020-03-09
marketEdge opinion,avoid,2020-05-08
marketEdge,1,2020-05-08
cfra,3,2019-01-24
theStreet,hold,2019-12-10
ford,3,2019-08-30
creditSuisse,neutral,2019-04-01
