,TXT
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.7420289855072464
Growth 1yr High Est,-0.32266666666666666
Growth 1yr Consensus Est,-0.5323478260869565
Growth 2yr Low Est,0.168311349943006
Growth 2yr High Est,-0.11999475065616794
Growth 2yr Consensus Est,0.024158299643419034
Growth 5yr Low Est,0.17777812395109482
Growth 5yr High Est,0.04961040819274304
Growth 5yr Consensus Est,0.11369426607191893
Growth 5yr Actual/Est,0.11208331794884524
Growth 3yr Historic,0.12075644629109128
