,AOS
Price/Earnings (TTM),21.56507
Price/Sales (TTM),2.42208
Price/Book (MRQ),4.59985
Price/Cash Flow (TTM),16.99705
5yr Low,25.05
5yr High,68.39
5yr Avg Return,0.07050000000000001
EPS Growth 5yr,0.1421427
Revenue Growth 5yr,0.049005099999999996
Dividend Growth 5yr,0.2457309
Short Int Current Month,9929690.0
Short Int Prev Month,9593685.0
Short Int Pct of Float,0.07370840000000001
Days to Cover,5.38607
Float,133.784
Shares Outstanding,161.1404
Institutions Holding Shares,651.0
% Held by Institutions,1.011078
FCF Growth 5yr,0.11831926651489369
