,AOS
% Below High,0.14859999999999998
% Held by Institutions,1.0110999999999999
52-Wk Range,['33.81 - 52.61']
Annual Dividend $,0.96
Annual Dividend %,0.0222
Ask,46.5
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.2
Bid,42.73
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,44.79
Day Change $,1.48
Day Change %,0.0342
Day High,44.99
Day Low,43.87
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.01
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.34700000000000003
Last (size),1300.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,7.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.57
Prev Close,43.31
Shares Outstanding,161.1M
Short Interest,0.0737
Today's Open,43.91
Volume,1156876.0
Volume 10-day Avg,1552828.0
Volume Past Day,(Light)
