,AOS
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.3080357142857143
Growth 1yr High Est,-0.10964912280701755
Growth 1yr Consensus Est,-0.20884241854636593
Growth 2yr Low Est,-0.008856566820276524
Growth 2yr High Est,0.036308443522599654
Growth 2yr Consensus Est,0.013725938351161565
Growth 5yr Low Est,0.018750988298545213
Growth 5yr High Est,0.0397105723874179
Growth 5yr Consensus Est,0.029230780342981558
Growth 5yr Actual/Est,0.02537282236948532
Growth 3yr Historic,0.013334922400550897
