,ETN
% Below High,0.2224
% Held by Institutions,0.8181999999999999
52-Wk Range,['56.42 - 105.78']
Annual Dividend $,2.92
Annual Dividend %,0.0364
Ask,82.8
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,82.25
Bid Size,500.0
Closing Price,82.25
Day Change $,1.99
Day Change %,0.0248
Day High,82.4
Day Low,81.09
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",5.09
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.478
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,32.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.76
Prev Close,80.26
Shares Outstanding,400.0M
Short Interest,0.0159
Today's Open,81.5
Volume,1555139.0
Volume 10-day Avg,2335765.0
Volume Past Day,(Light)
