,ETN
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4434628975265018
Growth 1yr High Est,-0.23611111111111105
Growth 1yr Consensus Est,-0.33978700431880643
Growth 2yr Low Est,-0.09474732177912393
Growth 2yr High Est,-0.004419191919191878
Growth 2yr Consensus Est,-0.0495832568491579
Growth 5yr Low Est,0.022951608806417112
Growth 5yr High Est,0.05531908626063223
Growth 5yr Consensus Est,0.03913534753352467
Growth 5yr Actual/Est,0.03815801999564561
Growth 3yr Historic,0.052771959223572085
