,CVX
Price/Earnings (TTM),45.90843
Price/Sales (TTM),1.28142
Price/Book (MRQ),1.20167
Price/Cash Flow (TTM),5.2097
5yr Low,51.6
5yr High,133.88
5yr Avg Return,-0.0036000000000000003
EPS Growth 5yr,-0.31360140000000003
Revenue Growth 5yr,-0.0685877
Dividend Growth 5yr,0.024861
Short Int Current Month,20063991.0
Short Int Prev Month,16626618.0
Short Int Pct of Float,0.010751900000000002
Days to Cover,1.39137
Float,1866.124
Shares Outstanding,1866.979
Institutions Holding Shares,2997.0
% Held by Institutions,0.663122
FCF Growth 5yr,-0.30585713191917635
