,CVX
% Below High,0.2483
% Held by Institutions,0.6631
52-Wk Range,['51.60 - 127.00']
Annual Dividend $,5.16
Annual Dividend %,0.0557
Ask,95.98
Ask Size,300.0
B/A Ratio,3.0
B/A Size,900x300
Beta,1.3
Bid,95.56
Bid Size,900.0
Change Since Close,0.51| |(0.53%)
Closing Price,95.47
Day Change $,2.83
Day Change %,0.0305
Day High,95.56
Day Low,94.07
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",2.02
Ex-dividend,2020-05-18 00:00:00
Ex-dividend Date,05/18/20
Historical Volatility,0.547
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,95.98
Market Cap,178.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.91
Prev Close,92.64
Shares Outstanding,1.9B
Short Interest,0.0108
Today's Open,95.0
Volume,8602865.0
Volume 10-day Avg,11267979.0
Volume Past Day,(Light)
