,DISCK
% Above Low,0.2541
% Held by Institutions,
52-Wk Range,['15.43 - 31.20']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,18.51
Bid Size,200.0
Closing Price,19.35
Day Change $,0.48
Day Change %,0.0254
Day High,19.67
Day Low,19.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,9.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,18.87
Shares Outstanding,506.7M
Short Interest,
Today's Open,19.48
Volume,2305885.0
Volume 10-day Avg,2405769.0
Volume Past Day,(Average)
