,DISCK
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4566473988439307
Growth 1yr High Est,-0.01897018970189701
Growth 1yr Consensus Est,-0.23780879427291385
Growth 2yr Low Est,-0.04481306112409306
Growth 2yr High Est,0.10239335818772544
Growth 2yr Consensus Est,0.02879014853181619
Growth 5yr Low Est,0.17955347996149987
Growth 5yr High Est,0.2203141768089028
Growth 5yr Consensus Est,0.19993382838520135
Growth 5yr Actual/Est,0.1935673430509744
Growth 3yr Historic,0.21483537041656275
