,TPR,Rating Since
newConstructs,3,2020-05-08
researchTeam,reduce,2020-04-24
marketEdge opinion,neutralfromavoid,2020-05-08
marketEdge,1,2020-05-08
cfra,3,2018-05-01
theStreet,sell,2020-05-01
ford,3,2020-04-17
creditSuisse,neutral,2019-08-15
