,TPR
% Above Low,0.4617
% Held by Institutions,0.9044
52-Wk Range,['10.18 - 36.06']
Annual Dividend $,
Annual Dividend %,
Ask,15.0
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.4
Bid,14.88
Bid Size,500.0
Closing Price,14.88
Day Change $,0.38
Day Change %,0.0262
Day High,15.06
Day Low,14.53
Dividend Pay Date,03/30/20
"EPS (TTM, GAAP)",-1.02
Ex-dividend Date,03/05/20
Historical Volatility,0.79
Last (size),46.0
Last (time),6:30p ET 05/08/20
Market Cap,4.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,14.5
Shares Outstanding,276.1M
Short Interest,0.0391
Today's Open,14.99
Volume,4614761.0
Volume 10-day Avg,5986473.0
Volume Past Day,(Light)
