,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,3.96,,,3.77,,3.8,,3.785,3.96,,
Year ending 12/2018,Neutral,4.5,,0.13636363636363646,4.48,0.1883289124668437,4.5,0.1842105263157896,4.49,4.5,0.13636363636363646,0.18626971939131665
Year ending 12/2019,Neutral,4.89,,0.08666666666666667,4.86,0.0848214285714286,4.91,0.09111111111111114,4.885,4.89,0.08666666666666667,0.08796626984126987
Year ending 12/2020,Neutral,,4.12,0.0,3.59,-0.2613168724279836,4.44,-0.09572301425661911,4.12,4.12,-0.1574642126789365,-0.17851994334230137
Year ending 12/2021,Neutral,,4.43,0.0,3.7,0.03064066852367686,5.11,0.1509009009009008,4.43,4.43,0.0752427184466018,0.09077078471228883
