,ALLE
% Above Low,0.32180000000000003
% Held by Institutions,0.983
52-Wk Range,['77.37 - 139.24']
Annual Dividend $,1.28
Annual Dividend %,0.0128
Ask,134.27
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,80.95
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,102.27
Day Change $,2.13
Day Change %,0.0213
Day High,103.79
Day Low,101.52
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",3.42
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.4
Last (size),301.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.26
Prev Close,100.14
Shares Outstanding,92.2M
Short Interest,0.050499999999999996
Today's Open,101.94
Volume,409901.0
Volume 10-day Avg,787105.0
Volume Past Day,(Light)
