,ALLE
Price/Earnings (TTM),29.26222
Price/Sales (TTM),3.2136
Price/Book (MRQ),15.10673
Price/Cash Flow (TTM),22.83614
5yr Low,52.95
5yr High,139.24
5yr Avg Return,0.1121
EPS Growth 5yr,0.173249
Revenue Growth 5yr,0.061434699999999995
Dividend Growth 5yr,0.27542449999999996
Short Int Current Month,4659271.0
Short Int Prev Month,3855456.0
Short Int Pct of Float,0.0505143
Days to Cover,5.85104
Float,91.90139
Shares Outstanding,92.22023
Institutions Holding Shares,756.0
% Held by Institutions,0.983032
FCF Growth 5yr,0.16056586207345674
