,XOM
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-1.4912280701754386
Growth 1yr High Est,-0.6511627906976745
Growth 1yr Consensus Est,-1.0711954304365565
Growth 2yr Low Est,-0.9152568922305764
Growth 2yr High Est,0.43367786391042185
Growth 2yr Consensus Est,-0.24078951416007727
Growth 5yr Low Est,-0.4576284461152882
Growth 5yr High Est,0.21683893195521092
Growth 5yr Consensus Est,-0.12039475708003863
Growth 5yr Actual/Est,-2.6349467627172944
Growth 3yr Historic,-0.04541303255856427
