,XOM
Price/Earnings (TTM),18.53539
Price/Sales (TTM),0.78395
Price/Book (MRQ),1.07233
Price/Cash Flow (TTM),6.27761
5yr Low,30.11
5yr High,95.55
5yr Avg Return,-0.08801666666666666
EPS Growth 5yr,-0.1595316
Revenue Growth 5yr,-0.08296900000000001
Dividend Growth 5yr,0.0490256
Short Int Current Month,59279332.0
Short Int Prev Month,65866459.0
Short Int Pct of Float,0.0140322
Days to Cover,1.51734
Float,4224.995
Shares Outstanding,4228.211
Institutions Holding Shares,3128.0
% Held by Institutions,0.54567
FCF Growth 5yr,0.29201906497801877
