,XOM
% Above Low,0.5337
% Held by Institutions,0.5457
52-Wk Range,['30.11 - 77.93']
Annual Dividend $,3.48
Annual Dividend %,0.0787
Ask,46.5
Ask Size,1100.0
B/A Ratio,0.09090909090909091
B/A Size,100x1100
Beta,1.4
Bid,46.33
Bid Size,100.0
Closing Price,46.18
Day Change $,1.94
Day Change %,0.043899999999999995
Day High,46.22
Day Low,44.98
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",2.49
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.423
Last (size),28.0
Last (time),6:30p ET 05/08/20
Market Cap,195.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.54
Prev Close,44.24
Shares Outstanding,4.2B
Short Interest,0.013999999999999999
Today's Open,45.31
Volume,19998701.0
Volume 10-day Avg,27911311.0
Volume Past Day,(Light)
